mode: atomic
github.com/arkjxu/eggbite/color.go:15.77,23.47 6 305238
github.com/arkjxu/eggbite/color.go:26.2,26.16 1 305238
github.com/arkjxu/eggbite/color.go:23.47,25.3 1 34
github.com/arkjxu/eggbite/color.go:29.85,38.6 7 17786
github.com/arkjxu/eggbite/color.go:63.2,63.14 1 17769
github.com/arkjxu/eggbite/color.go:38.6,40.7 2 18108
github.com/arkjxu/eggbite/color.go:58.3,58.20 1 18091
github.com/arkjxu/eggbite/color.go:61.3,61.34 1 322
github.com/arkjxu/eggbite/color.go:40.7,42.8 2 18754
github.com/arkjxu/eggbite/color.go:53.4,53.21 1 18737
github.com/arkjxu/eggbite/color.go:56.4,56.35 1 646
github.com/arkjxu/eggbite/color.go:42.8,45.21 3 269668
github.com/arkjxu/eggbite/color.go:48.5,48.22 1 269651
github.com/arkjxu/eggbite/color.go:51.5,51.36 1 250914
github.com/arkjxu/eggbite/color.go:45.21,47.6 1 17
github.com/arkjxu/eggbite/color.go:48.22,49.11 1 18737
github.com/arkjxu/eggbite/color.go:53.21,54.10 1 18091
github.com/arkjxu/eggbite/color.go:58.20,59.9 1 17769
github.com/arkjxu/eggbite/color.go:66.89,74.30 5 0
github.com/arkjxu/eggbite/color.go:83.2,83.13 1 0
github.com/arkjxu/eggbite/color.go:74.30,75.30 1 0
github.com/arkjxu/eggbite/color.go:75.30,78.20 3 0
github.com/arkjxu/eggbite/color.go:78.20,80.5 1 0
github.com/arkjxu/eggbite/color.go:86.119,94.30 5 0
github.com/arkjxu/eggbite/color.go:104.2,104.13 1 0
github.com/arkjxu/eggbite/color.go:94.30,95.30 1 0
github.com/arkjxu/eggbite/color.go:95.30,98.20 3 0
github.com/arkjxu/eggbite/color.go:98.20,100.5 1 0
github.com/arkjxu/eggbite/color.go:107.132,121.50 9 1
github.com/arkjxu/eggbite/color.go:125.2,125.27 1 1
github.com/arkjxu/eggbite/color.go:135.2,135.18 1 1
github.com/arkjxu/eggbite/color.go:121.50,123.3 1 0
github.com/arkjxu/eggbite/color.go:125.27,126.28 1 76
github.com/arkjxu/eggbite/color.go:126.28,129.20 3 17784
github.com/arkjxu/eggbite/color.go:129.20,131.5 1 0
github.com/arkjxu/eggbite/color.go:138.161,152.50 9 0
github.com/arkjxu/eggbite/color.go:156.2,156.27 1 0
github.com/arkjxu/eggbite/color.go:166.2,166.18 1 0
github.com/arkjxu/eggbite/color.go:152.50,154.3 1 0
github.com/arkjxu/eggbite/color.go:156.27,157.28 1 0
github.com/arkjxu/eggbite/color.go:157.28,160.20 3 0
github.com/arkjxu/eggbite/color.go:160.20,162.5 1 0
github.com/arkjxu/eggbite/color.go:169.94,176.30 5 1
github.com/arkjxu/eggbite/color.go:185.2,185.24 1 1
github.com/arkjxu/eggbite/color.go:176.30,177.30 1 76
github.com/arkjxu/eggbite/color.go:177.30,180.20 3 17784
github.com/arkjxu/eggbite/color.go:180.20,182.5 1 16
github.com/arkjxu/eggbite/color.go:188.124,195.30 5 1
github.com/arkjxu/eggbite/color.go:205.2,205.24 1 1
github.com/arkjxu/eggbite/color.go:195.30,196.30 1 76
github.com/arkjxu/eggbite/color.go:196.30,199.20 3 17784
github.com/arkjxu/eggbite/color.go:199.20,201.5 1 16
github.com/arkjxu/eggbite/color.go:208.39,211.2 2 1
github.com/arkjxu/eggbite/color.go:213.51,216.19 2 1
github.com/arkjxu/eggbite/color.go:220.2,220.33 1 1
github.com/arkjxu/eggbite/color.go:233.2,233.18 1 1
github.com/arkjxu/eggbite/color.go:245.2,246.13 2 1
github.com/arkjxu/eggbite/color.go:216.19,218.3 1 0
github.com/arkjxu/eggbite/color.go:220.33,221.10 1 6
github.com/arkjxu/eggbite/color.go:229.3,230.11 2 0
github.com/arkjxu/eggbite/color.go:222.29,223.18 1 5
github.com/arkjxu/eggbite/color.go:224.29,225.23 1 0
github.com/arkjxu/eggbite/color.go:226.29,227.23 1 1
github.com/arkjxu/eggbite/color.go:234.9,237.49 3 1
github.com/arkjxu/eggbite/color.go:238.9,241.31 3 0
github.com/arkjxu/eggbite/color.go:242.10,243.23 1 0
github.com/arkjxu/eggbite/color.go:249.63,251.2 1 646048
github.com/arkjxu/eggbite/color.go:253.40,257.18 4 305240
github.com/arkjxu/eggbite/color.go:260.2,260.22 1 305238
github.com/arkjxu/eggbite/color.go:257.18,259.3 1 2
github.com/arkjxu/eggbite/color.go:263.40,267.16 4 54648
github.com/arkjxu/eggbite/color.go:270.2,270.22 1 54648
github.com/arkjxu/eggbite/color.go:267.16,269.3 1 0
github.com/arkjxu/eggbite/crop.go:9.74,11.14 2 0
github.com/arkjxu/eggbite/crop.go:15.2,16.31 2 0
github.com/arkjxu/eggbite/crop.go:23.2,24.24 2 0
github.com/arkjxu/eggbite/crop.go:11.14,13.3 1 0
github.com/arkjxu/eggbite/crop.go:16.31,21.3 4 0
github.com/arkjxu/eggbite/crop.go:27.73,29.14 2 0
github.com/arkjxu/eggbite/crop.go:32.2,33.24 2 0
github.com/arkjxu/eggbite/crop.go:29.14,31.3 1 0
github.com/arkjxu/eggbite/crop.go:36.74,38.31 2 0
github.com/arkjxu/eggbite/crop.go:44.2,45.26 2 0
github.com/arkjxu/eggbite/crop.go:38.31,43.3 4 0
github.com/arkjxu/eggbite/image.go:23.64,27.2 2 0
github.com/arkjxu/eggbite/image.go:29.97,31.14 2 0
github.com/arkjxu/eggbite/image.go:34.2,35.14 2 0
github.com/arkjxu/eggbite/image.go:38.2,38.80 1 0
github.com/arkjxu/eggbite/image.go:31.14,33.3 1 0
github.com/arkjxu/eggbite/image.go:35.14,37.3 1 0
github.com/arkjxu/eggbite/image.go:41.59,43.14 2 0
github.com/arkjxu/eggbite/image.go:46.2,46.17 1 0
github.com/arkjxu/eggbite/image.go:43.14,45.3 1 0
github.com/arkjxu/eggbite/image.go:49.58,51.16 2 1
github.com/arkjxu/eggbite/image.go:54.2,56.16 3 1
github.com/arkjxu/eggbite/image.go:59.2,59.17 1 1
github.com/arkjxu/eggbite/image.go:51.16,53.3 1 0
github.com/arkjxu/eggbite/image.go:56.16,58.3 1 0
github.com/arkjxu/eggbite/image.go:62.61,66.2 3 0
github.com/arkjxu/eggbite/ocr.go:22.36,24.9 2 1
github.com/arkjxu/eggbite/ocr.go:27.2,31.43 4 1
github.com/arkjxu/eggbite/ocr.go:24.9,25.54 1 0
github.com/arkjxu/eggbite/ocr.go:34.57,36.14 2 0
github.com/arkjxu/eggbite/ocr.go:39.2,40.14 2 0
github.com/arkjxu/eggbite/ocr.go:43.2,43.18 1 0
github.com/arkjxu/eggbite/ocr.go:36.14,38.3 1 0
github.com/arkjxu/eggbite/ocr.go:40.14,42.3 1 0
github.com/arkjxu/eggbite/ocr.go:46.56,48.14 2 1
github.com/arkjxu/eggbite/ocr.go:51.2,52.14 2 1
github.com/arkjxu/eggbite/ocr.go:55.2,55.18 1 1
github.com/arkjxu/eggbite/ocr.go:48.14,50.3 1 0
github.com/arkjxu/eggbite/ocr.go:52.14,54.3 1 0
github.com/arkjxu/eggbite/ocr.go:58.17,60.2 1 1
github.com/arkjxu/eggbite/resize.go:9.81,11.14 2 0
github.com/arkjxu/eggbite/resize.go:14.2,15.24 2 0
github.com/arkjxu/eggbite/resize.go:11.14,13.3 1 0
